段号,条目数,最大值,最小值,均值,方差,标准差
1,1304,276.18600000000004,273.4945,274.327896088957,0.38095576221800104,0.6172161389805042
2,1411,276.18600000000004,272.999,273.91162633517496,0.3783527391919814,0.6151038442344361
3,2425,276.18600000000004,272.999,274.0861024319066,0.27678707439571854,0.5261055734315295
4,1747,276.18600000000004,272.504,273.9286599390156,0.3158178435342968,0.5619767286412284
5,1774,276.18600000000004,271.442,273.8440469345341,0.3319892377795734,0.5761850725067194
6,1672,276.18600000000004,271.442,273.8683998354786,0.3086467012030306,0.555559808844224
7,3130,276.18600000000004,271.442,273.93082451905224,0.28979092532136697,0.5383223247473273
8,1431,276.18600000000004,271.442,273.94047435208813,0.26855397476683557,0.5182219358217438
9,1549,276.18600000000004,271.442,273.9836679438059,0.2709829674901569,0.5205602438624726
10,3736,276.18600000000004,271.442,273.91284117151497,0.2623576462957023,0.5122085964679842
11,4165,276.18600000000004,271.442,273.9449732788367,0.2408534619754285,0.4907682365184492
12,2824,276.18600000000004,271.442,273.871808671967,0.2725918604732525,0.522103304407521
13,2566,276.18600000000004,271.442,273.82146547723147,0.28234425945287633,0.5313607620561348
14,2151,276.18600000000004,271.442,273.79381419162615,0.283680936972409,0.5326170641017888
15,2277,276.18600000000004,271.442,273.7849400064399,0.2689351981731565,0.5185896240508062
16,1402,276.18600000000004,271.442,273.81669227308515,0.2842858770558341,0.5331846556830326
17,1262,276.18600000000004,271.442,273.84207821919296,0.3000947054430304,0.5478090045289785
18,2473,276.18600000000004,271.442,273.92006848774776,0.37777129492379335,0.6146310233984235
19,3016,276.18600000000004,271.442,274.0248805151837,0.4981402204207777,0.7057904932915842
20,1403,276.18600000000004,271.442,274.06454841255317,0.5308261173178593,0.7285781477081641
21,2277,276.18600000000004,271.442,274.14112768779216,0.6184439541372715,0.7864120765459235
22,1605,276.18600000000004,271.442,274.1748599684874,0.6306672294768803,0.794145597152613
23,1845,276.18600000000004,271.442,274.1911636464759,0.6158704264340386,0.7847741244676958
24,2480,276.18600000000004,271.442,274.22137529128554,0.6066076002657498,0.778850178317852
25,1388,276.18600000000004,271.442,274.2233551385216,0.5926022505202369,0.7698066319019581
26,1534,276.18600000000004,271.442,274.20659156380475,0.5895508221505057,0.7678221292399078
27,1333,276.18600000000004,271.442,274.19703342826625,0.581602728203097,0.7626288272830348
28,2943,276.18600000000004,271.442,274.1833841144732,0.5631559413122084,0.7504371667982659
29,2733,276.18600000000004,271.442,274.1704842941671,0.5462668403280551,0.7390986675187928
30,1285,276.18600000000004,271.442,274.17061041953724,0.535693154753802,0.7319106193749357
31,2591,276.18600000000004,271.442,274.2098393476541,0.556124170946909,0.7457373337488938
32,1360,276.18600000000004,271.442,274.1909191781434,0.5639559251090835,0.75096998948632
33,4593,276.18600000000004,271.442,274.13415144032916,0.5806983434443374,0.7620356575937489
34,2870,276.18600000000004,271.442,274.0571687210784,0.7117079762408148,0.8436278659698332
35,1493,276.18600000000004,271.442,274.03781616873556,0.7331386525706348,0.8562351619564772
